ID producto; Nombre producto; Marca; Categoria; Precio unidad; Cantidad; Demanda

B4913;Eliptica;Golty;Deportes;616,19;0000000656;0000000842
B4911;New G32;SKY;Deportes;927,38;0000000822;0000000916
B4912;Bicieta montaña;SEVEN;Deportes;939,37;0000000335;0000000263
B4918;Bicicleta;QMAX;Deportes;222,09;0000000004;0000000921
B4914;Bicicleta;GYMAX;Deportes;87,79;0000000306;0000000148
B4907;Caminadora;ULTRA;Deportes;758,68;0000000163;0000000054
B4920;Balon Basket NBA Drive;MAGNUX;Deportes;107,04;0000000396;0000000685
B4916;Patines;Nike;Deportes;251,09;0000000245;0000000845
B4916;Bicicleta;ATHLETIC;Deportes;136,13;0000000271;0000000562
B4914;Banco de pesas;Wilson;Deportes;841,19;0000000363;0000000493
B4917;Patines;GYMAX;Deportes;954,57;0000000168;0000000511
B4919;New G32;ATHLETIC;Deportes;879,48;0000000088;0000000242
